userName;score;at;content;;
Brayen Munthe crot;1;15/10/2024 11.02;Mengapa waktu nge repost tidak ada suaranya?? Tolong di perbaiki;;
Zulaika Maulidina;5;15/10/2024 11.00;okelah;;
Tri Sutrisno;5;15/10/2024 10.59;bagus;;
Siti Saadah;5;15/10/2024 10.55;bagus;;
Irsyad Badriyansyah;1;15/10/2024 10.53;Setelah di update ke versi terbaru jadi ngelag;;
Supri Yadi;4;15/10/2024 10.53;Senang jadi ban6ak pengetahuan pengalaman dan banyak teman;;
Rosita Roscha;5;15/10/2024 10.51;Ditunggu centangnya;;
Vignespri2024;5;15/10/2024 10.49;Bagus 👍🤩;;
Mojaik Debo;5;15/10/2024 10.48;Yess I glead ig;;
gusti gos;1;15/10/2024 10.47;Lemot,, padahal sinyal lancar;;
Radityaahmad 18nov;1;15/10/2024 10.46;Ig ke k****l;;
Zaskia Zahrotusyita;1;15/10/2024 10.46;bnyk bug;;
Aldo K;1;15/10/2024 10.45;"INSTAGRAM SEHAT IG GW TIBA DI BANDINGKAN PADAHAL GA PERNAH BUAT PELANGGARAN ATAU HAL ANEH GW UDA 9 TH MAIN IG INI AKUN SKRG DI BANDINGKAN SEHAT"" LU INSTAGRAM KECEWA. AUTO UNISNTAL";;
Rofiq Kancoy;5;15/10/2024 10.43;Bagus untuk menghibur diri;;
Harsyat Pasaribu;5;15/10/2024 10.40;Bagus dah pokoknya;;
kentung gaming;5;15/10/2024 10.39;Bagus;;
Mar Yoto;1;15/10/2024 10.37;Ig saya ngebug gabisa liat live orang, setiap di pencet kepental;;
Eno Bastian86;5;15/10/2024 10.35;Yang udah punya aplikasi ini pokoknya jangan sampai di hapus nanti kalian nyesel lho..🥰;;
Um Zik;5;15/10/2024 10.29;iloveee;;
Agha Zaki;1;15/10/2024 10.25;woy tambahin fitur streak huu ig jelek👎🏻👎🏻;;
Decha Dede;5;15/10/2024 10.21;Bagus;;
Mr. Usman Usman;5;15/10/2024 10.21;Terbaik;;
mba pin;1;15/10/2024 10.19;tidak bisa melakukan siaran langsung.;;
Paimo Dmtruk;5;15/10/2024 10.19;Acc;;
furqon furqon;1;15/10/2024 10.17;komentar saya tidak menyinggung siapapun , tapi pihak instagram tidak memulihkan akun saya , sungguh sangat mengecewakan;;
Mhmd Ilham;1;15/10/2024 10.16;bikin story aja dipersulit, lucu;;
Mini Ons;5;15/10/2024 10.09;Semoga bermanfaat;;
bagasrendang 16;1;15/10/2024 10.08;sigma 🤫;;
Agung Pradhani;5;15/10/2024 10.05;Mantaapp👍🏻;;
AhmadAdi Kembar;5;15/10/2024 10.03;Bagus;;
Rasya Silvi;5;15/10/2024 10.03;Banyak yang menarik;;
ogapangestu;5;15/10/2024 10.03;Info motor cod;;
Asep Ridwan Mutakin;5;15/10/2024 10.01;Mantap;;
Putri Aulia rahma;2;15/10/2024 09.54;"tolong dong pihak instagram kembalikan akun yg tiba"" dinonaktifkan, padahal ga ada salah apa""";;
Hj. Saidang;5;15/10/2024 09.52;Sangat bagus;;
7E_06_CHELSEA FELICIA CHRISTABELLA;5;15/10/2024 09.48;Hah;;
Last Time Laura Litvyak;5;15/10/2024 09.43;Sangat bagus sekali, terhibur menyenangkan;;
Ahmad Faiz Faiz;5;15/10/2024 09.42;Good;;
Adrianjr Adrianjr;5;15/10/2024 09.40;okeeeee;;
Arya Glouiss;1;15/10/2024 09.38;nih Instagram saya knp foto cwe sexy??;;
Saskia Endang pratiwi;3;15/10/2024 09.37;Kok ignya gak bisa siaran langsung?;;
Raka Hardianto;4;15/10/2024 09.37;Kenapa kok ga bisa buat nama sesuai keinginan kita? Nulis ini di jawab nama penggunaan tidak tersedia, apalah, tolong di perbaiki, harusnya melayani;;
Abah Ikam;3;15/10/2024 09.29;Tolong adakan fitur pembatalan upload story🙏;;
Sukirman Gelumbang;1;15/10/2024 09.27;aplikasi jelek bkin akun aja susah bget pas masukin kode yg benar malah tidak valid aplikasi jelek;;
Darso Darso;5;15/10/2024 09.22;Sangat membantu serta bermanfaat;;
Faqih Moo;5;15/10/2024 09.17;Banyak yang dikepoin;;
Muhammad Javier;1;15/10/2024 09.17;ajgg lah, gua gadapet otp ke gmail gua, mana first account;;
Azzahra Rahmadhani;4;15/10/2024 09.14;"Kenapa ya ketika mau menambahkan music di bio instagram tidak bisa? Padahal apk nya juga sudah di update loh! Kesal banget udh diulang"" tapi tetap tidak muncul di bio nya. Mohon diperbaiki";;
Satriaa Putraa;5;15/10/2024 09.14;Baik;;
Aurra Javanistt;5;15/10/2024 09.10;apikk;;
Haji Bandan;5;15/10/2024 09.10;Bagusss bangett ya allwh aku suka;;
SUGIANTO Atto;1;15/10/2024 09.09;Banyak sekarang peraturan instagram , maaf sy turuni bintang ny..;;
Nazwa Alifatun Nisa Tanjung;5;15/10/2024 09.09;Ig ini sangat berguna bisa berfotbar bareng teman dan juga bisa miskol teman jauh atau pun keluarga;;
L;1;15/10/2024 09.08;STOP MUNCULIN NOTIF ANDA MUNGKIN KENAL, GAAAAKKK GUE GAK KENAL;;
Syafrizal Fahri;5;15/10/2024 09.07;Bagus;;
VARREL ANDIKA;5;15/10/2024 09.07;GA PERLU COMNT INTINY INS PALING THE BEST;;
Abyan Abimata;5;15/10/2024 09.06;Apa apaan ini padahal udah bener emailku itu eh disalain ini emang gak bener terus aku buat akun lagi katanya liat di sms tapi gak ada;;
Wa Ni;1;15/10/2024 09.06;Kenapa selalu dibatasi disast saya berkomentar, saya menulis memakai bahasa arab, apakah itu salah atau tidak suka saya menulis bahasa arab...dasar Instagram hanya bercometar daja bilang spam ,yang tidak sopan hanya orang orang bugil itu yang kalian suka dasar berarti tidak yang punya aplikasi ini bukan Muslim;;
Triyanto T;5;15/10/2024 09.06;ok;;
Dian Herii;5;15/10/2024 09.04;bagus buat komunikasi;;
colin wilbert;5;15/10/2024 09.02;Buat exist aja;;
Ishak Susilo;5;15/10/2024 09.00;Good;;
kiki Abdulah;5;15/10/2024 08.56;"Bagus***""""""""""""""*******";;
MC Cell;5;15/10/2024 08.56;Saya kasih 5 bintang, but jangan di ilangin ya fiturnya oleh fitur itu banyak di istagram;;
Maria Cantika;5;15/10/2024 08.51;Sngt bgus;;
Siska Djafar;3;15/10/2024 08.50;Assalamualaikum ka mohon filter nya itu jangan di ilangkan ka saya kasi bintang 3;;
ajig Kasar;5;15/10/2024 08.48;Bagus bngt pokonya biang aku suka;;
Brito Mesy;1;15/10/2024 08.43;baik;;
Wahyudi Mokoginta;5;15/10/2024 08.43;Bagus;;
Syahdiansyah “Dian”;5;15/10/2024 08.39;good;;
Naura Nauramaqfiroh;5;15/10/2024 08.38;💋;;
Arlia Lia;5;15/10/2024 08.37;Ini bagus sekali instalagram;;
Ilham koplok;5;15/10/2024 08.36;mantap;;
Mrobi Saputra;5;15/10/2024 08.35;bagus sekali;;
LIYANA MAHIRA;1;15/10/2024 08.33;Aplikasi Tolol Banyak Bug!!!. Saya Mau Scroll Di Pertemanan Orang Untuk Melihat & MemFollow Orang Baru Udah Saya Scroll Sampe Bawah Giliran Udah Klik Profil Instagram Orang & Saya Ingin Kembali Melihat Follower Orang Lagi Satu Persatu Kenapa Malah Ngulang Lagi Dari Atas Yang Tadinya Saya Scroll Udah Sampe Bawah Malah Ngulang Lagi Dari Atas Kan Cape & ini Bukan Cuma 1 kali Tapi Sering Sekali Seperti itu & Membuat Saya Emosi!!!, Tolong Di Perbaiki Masalah Tersebut Kalo ga di beneri bintang 1 aja!;;
Rudi Tabuti;5;15/10/2024 08.29;Informasi nya lengkap;;
Via Cantik;5;15/10/2024 08.27;Aku suka banget;;
Jovan Jovan;5;15/10/2024 08.26;Sungguh bagus;;
Andi Saputra;1;15/10/2024 08.25;Rell mengalami lag padahal jaringan bagus cepat di perbaiki;;
Akhmad adi Saputra;3;15/10/2024 08.24;Kenapa audio di konten saya tidak tersedia?;;
Pardan Pardan;4;15/10/2024 08.24;Suka ajaa;;
Keyla Apriza;1;15/10/2024 08.21;mohon bantuannyaa saya tidak bisaa meng folow akun orang lain;;
Nur Hikmah;5;15/10/2024 08.20;Sangat puas;;
Saifullah;1;15/10/2024 08.18;kebanyakan bug udah kaya epep aja;;
Bos Amin;5;15/10/2024 08.15;Bagus banget dan menarik;;
Solihun Hun;5;15/10/2024 08.12;instagram ini bagus banget karena efek foto ✅ seru bgt rendem rendem vidio nya hmmm seruuuuuuu;;
opan hulopi;5;15/10/2024 08.06;Mantap;;
ARJUN HERDA;1;15/10/2024 08.04;Aplikasi nya banyak bug;;
ARYO SUGIANTO95;5;15/10/2024 08.04;Patennnn👍;;
Nofri ani ani;5;15/10/2024 08.01;Aplikasi yang keren;;
Well Pangalo;5;15/10/2024 07.59;Baik;;
Nabillah Nabillahyasmine;5;15/10/2024 07.56;🖤;;
Christy E.H;3;15/10/2024 07.56;saran saya untuk update beri notifikasi ya jangan ngebug tiba-tiba;;
Aril Aril;5;15/10/2024 07.55;Apk bagus;;
Dewi Naura;5;15/10/2024 07.55;Terimakasih;;
Nadim Akbar;3;15/10/2024 07.54;Knp klo bikin Cerita Vt nya jadi ngebugg? Apalagi Klo nyimpen Fto vidio Jarang bangett kesimpen;;
Avi Tuzi;5;15/10/2024 07.53;aku beri bintang 5 soalnya bagus bgt aplikasi instagram ini makasih ya instagram 😍🙏;;
Zahira Arsyada;5;15/10/2024 07.53;sngt mmbntu;;
Nisryan Ardiansyah;5;15/10/2024 07.51;Ammaazzziiinngggg...;;
Dewi Sari;5;15/10/2024 07.51;Bagus;;
Alisaa Rm;1;15/10/2024 07.50;Sekarang banyak erorrnya,gausah ada fitur tambah kan media lah;;
Adi Satrio;5;15/10/2024 07.50;Alhamdulillah;;
Ratu Cantik;2;15/10/2024 07.48;hicg;;
agus priadnyana;5;15/10/2024 07.47;Bagus;;
kailah noer;5;15/10/2024 07.45;ig terbaik, jdi lebih seru;;
Juni Putro;5;15/10/2024 07.38;keperibadianmenarik;;
Bagas putra;1;15/10/2024 07.30;nih yah gue gak ngapa-ngapain aja akun Instagram gue ditangguhkan anj mana postingan kehidupan gw di situ semua taiiiiii;;
Ridwan Ridwan;5;15/10/2024 07.30;Aplikasinya bagus banget aku bisa foto dan bikin vidio filter nya bagus 👍;;
rifany willfell;5;15/10/2024 07.24;Sangat bagus...;;
Frischoe Valentino;5;15/10/2024 07.22;Bagus;;
Titik Sri;5;15/10/2024 07.21;Mudah mencari kbr berita;;
Nahda Nahda;2;15/10/2024 07.20;Saya kesal,kenapa kalo saya bikin akun pasti ada tulisan harap tunggu beberapa menit setelah mencoba lagi hmmmm,dan gak bisa bikin akun lagi🤬;;
Rambu Tan;5;15/10/2024 07.19;Aplikasi keren abiez;;
Gozali Hasim;4;15/10/2024 07.17;Bagus;;
Ferah Azhari;1;15/10/2024 07.14;Instagram 👎👎👎 15/10/2024 Kenapa instagram makin lama makin banyak aja masalanya yaa;;
Junaedi Maliki;5;15/10/2024 07.13;Efek nyah jlk tapi bohong bagussss;;
Zifara Zifara;1;15/10/2024 07.10;bagus;;
Daniel Plur;5;15/10/2024 07.04;Mantaf N keren......utk postingan upload akses cepat;;
Istiani Rambu;5;15/10/2024 06.59;Sangat bagus;;
LIE KA NJIE;5;15/10/2024 06.56;Kami mudah cari teman;;
Sep Prianto;5;15/10/2024 06.54;Bagus bisa bebas berekspresi ngak dikit dikit kebaned;;
HALFA SEJATI;4;15/10/2024 06.53;Godd;;
Amelianatasya Amelia;5;15/10/2024 06.47;suka banget, anww kalau bisa tambahin vitur rekam pakai laguu juga di ig, biar makin banyak yang suka pakaii heheh, selebihnya ok ok aja;;
sandy utama;1;15/10/2024 06.44;Sngat burikkk;;
Nadiel Mei Ardiki;4;15/10/2024 06.43;P balap pppppppppp;;
Nurul Huda;2;15/10/2024 06.43;Menarik;;
Agua Sutomo;5;15/10/2024 06.38;Keren.....bagus Mudah2an jadi wadah impirasi...;;
Rawat Butarbutar;5;15/10/2024 06.36;"Wakarimass -_-"" #ghiblistudio";;
NURUL AMELIA;5;15/10/2024 06.34;Bagus banget;;
Aboy Smile;5;15/10/2024 06.28;Apk bagus & sangat membantu untuk ber kreatif & interaksi dengan yg lain menambah saudara d media sosial , Samal menyala😊🤌🔥🔥🔥;;
Iky Aja;5;15/10/2024 06.26;bagus bnget;;
Fazry Nuraziz;5;15/10/2024 06.25;Kagak tau;;
Bilqis Liyep;1;15/10/2024 06.19;Angel daptar e;;
Aisyah tanjung;5;15/10/2024 06.18;Bagussss;;
Candra Andra;5;15/10/2024 06.15;Untuk menambah teman;;
Marisa Risya;5;15/10/2024 06.05;Bagus;;
Pengguna Google;5;15/10/2024 06.03;Saya seneng beritanya.;;
dah purnamasari15;5;15/10/2024 05.57;ok;;
Pejuang Rupiah;3;15/10/2024 05.56;Gk bisa up status,,buka chat,,up vidio msh banyak lgi,, Memang anjiiiinnnnggggggg;;
Buatik Ganjaran;5;15/10/2024 05.55;Bagus banget;;
Ari yundi Yundi;5;15/10/2024 05.52;Di Instagram tempat yang paling asyik berbagi pengalaman dan wawasan;;
Aldi;1;15/10/2024 05.50;Tolol di update malah gabisa scroll asu,nonton reels stuck gabisa scroll;;
Acep Yandi;5;15/10/2024 05.48;👍👍👍👍;;
Fadil Fadil;5;15/10/2024 05.48;Perbarui ig ogut om;;
Hj Hanatang;5;15/10/2024 05.41;Sangat cocok untuk melihat lebih dekat dengan pac;;
Nahla Qolbi;5;15/10/2024 05.41;Aku suka apk ini tapi instragam ku Mlah dihapus adekku ,jadi aku mau download ini,tapi aku GK tau kodenya 😀;;
Annisa Siwi Maharani;2;15/10/2024 05.41;Kenapa tidak bisa untuk membuat akun baru? Selalu tulisan kesalahan teknis;;
Bilkis Widya;1;15/10/2024 05.38;akun tiba tida di tangguhkan padahal enggak buat apa apa tolong muat ulang;;
Aan Ganteng;5;15/10/2024 05.34;Sngat bagus tapi syg tdak mnghasilkan duit;;
chastine;5;15/10/2024 05.34;Very good;;
Wirog Teles;1;15/10/2024 05.30;Lemot;;
Muhammad Alimsyah;5;15/10/2024 05.30;mantap;;
Bayuh Peratama;5;15/10/2024 05.28;Menakjubkan;;
romomas Al-fathir Sofyan;5;15/10/2024 05.26;Jos;;
Azhari Hanaf;5;15/10/2024 05.24;Oke mantap;;
Ahmad Khairuna;5;15/10/2024 05.22;Keren;;
Belajar Xsis;5;15/10/2024 05.22;Banyak memberi inspirasi;;
Glean_15.v;1;15/10/2024 05.20;Apk Instagramnya gak jelas banget dah, masak iya aku arsipin foto doang, terus mau publik lagi fotonya yang dari arsip malah hilang udh mondar mandir cek arsip ganti akun, hapus Instagram terus login lagi tetap gak ada. anehh;;
Nday;3;15/10/2024 05.18;Filter ny kaga bisa di pake;;
M angga Setiawan;1;15/10/2024 05.14;Game nya bagus bisa liat bkp lagi😋👍;;
MUIS HAQ;1;15/10/2024 05.00;Instagram tolong diperbaiki di hyper os Xiaomi pad 6 sering berhenti sendiri;;
Yarmis Syukur;5;15/10/2024 05.00;Cepat meneruskan dan memperoleh informasi;;
Sakhia Khanza;1;15/10/2024 04.58;Aneh Gk bisa masuk;;
Aida Fitria S;1;15/10/2024 04.55;kalo bisa dikasih bintang minus bakal ku kasih dah, beberapa arsip ada yg ilang gitu biar apa?;;
Eti Surhayati;5;15/10/2024 04.46;bzgus;;
Yayu Bint endang;1;15/10/2024 04.44;Bintang satu aja akun ku blm pulih aampe sekarang👎👎👎;;
Bay Satriani;5;15/10/2024 04.44;Perfect fiture;;
Putra Bintang Setiawan;5;15/10/2024 04.44;Cakep banget cooooookkk;;
Yusup l. Usman;5;15/10/2024 04.40;Aplikasi membuat saya bisa menjangkau dunia luas.;;
Muhammad_Jamal129;5;15/10/2024 04.40;Good terus berusaha untuk baik kedepannya;;
agus mulyadi;5;15/10/2024 04.36;Semoga bermanfaat;;
Propotype RC;5;15/10/2024 04.31;Sudah bagus, semoga algoritmanya semakin mudah dipahami, kok sekarang kalau upload susah banget ya?;;
Aziz Permana;5;15/10/2024 04.22;Tolong Ketika Merepost story Orang lain lagu nya kok hilang;;
Igin Ginanjar;5;15/10/2024 04.17;Saya tidak bisa lihat story temen;;
Poni Aisyah;5;15/10/2024 04.12;Dapat di gunakan denganmudah;;
Wahyu Widyo Nugroho;5;15/10/2024 04.11;Very nice;;
Ucu Marley;5;15/10/2024 04.04;Mantap;;
Aidil adha;1;15/10/2024 04.04;gw setelah di updet ngebaq mulu lain yg mau di hapus sg lain pula yg kehapus bikin kesel;;
Usnan;5;15/10/2024 04.03;Sepertinya saya berminat utk ikut;;
Raden Kian Santang;4;15/10/2024 04.03;Lumayan bagus;;
Kevin Marcelino;5;15/10/2024 04.00;Gooddddd;;
Frengki Marpaung;1;15/10/2024 03.57;Uelek;;
Surya Syaputra;1;15/10/2024 03.55;Ngga bisa login padahal email sama pw bener. Makin ngga bener pas udh di update jadi makin jelek banget ig;;
Mikhael 4 B/ Wibby 5D;4;15/10/2024 03.47;Bagus;;
Ibnu Almarhaban;5;15/10/2024 03.46;Mantap sob;;
GITA HARNUM chaspit15_4;5;15/10/2024 03.42;Mim saya minta tolong banget inima laporan mengenai sebuah postingan atau pun sorotan ya kalo dilaporin itu pasti wajib dihapus dong min jelas jelas disitu pihak pertama melaporkan postingan ya pasti ada masalah, nah dari pihak instagramnya tidak menyertakan laporan detail yang berarti ga mau tau masalah kecil dari pihak korban agak laen, intinya laporan yang di buat untuk poatingan baik sorotan/postingan wajib hapus dari akun nya. Trimakasih.;;
Andi Atirah;1;15/10/2024 03.40;bagus sih tapi ada juga aku kesal😡😡😡😡;;
Pengguna Google;5;15/10/2024 03.39;Bagus sekali aplikasinya;;
jhony quest (j);3;15/10/2024 03.38;Kenapa ya aplikasi Ig kaya aplikasi rusak,sudah nge edd ehh balik lagi berulang kali nge klik balik lagi..;;
Yusnia;5;15/10/2024 03.38;Sangat senang menggunakan Instagram, banyak peluang untuk berkreasi dan banyak merikan inspirasi yg bagus 🥰;;
Story 5ku;1;15/10/2024 03.37;Sangat bgus. Aplikasi yang membantu perkembangan editor;;
Riski Romayani;1;15/10/2024 03.34;Sangat buruk;;
Rita Pasewang;5;15/10/2024 03.33;Sangat bermanfaat buat saya dan sangat menginspirasi;;
Rey14 Channel;5;15/10/2024 03.32;Fiturnya bagus;;
Habiburrahman Attaqi;2;15/10/2024 03.32;Burik patah-patah;;
Alfian Syaputra;1;15/10/2024 03.30;❤️😇😭😭😭😭😭;;
yusuf suciyanto;5;15/10/2024 03.30;ajip;;
Bayu Oka;5;15/10/2024 03.27;Terbaik;;
Zheezhe Tiktok;5;15/10/2024 03.24;terbaik pokoknya 😍😍😍😍;;
Rafli juliandi wiratama Baruraka;5;15/10/2024 03.24;Populer;;
pocopaman maman;5;15/10/2024 03.23;Mantap;;
hadimahfud asy'ary;5;15/10/2024 03.21;💞👍👍👍👍💟;;
Nia Patmawati;4;15/10/2024 03.20;Knp trs² d aplod ulang iya;;
Mataram Lombok;5;15/10/2024 03.19;Good;;
Teti Handayani;5;15/10/2024 03.14;Makin ok;;
FF Yasya;1;15/10/2024 03.14;Mode vidio callnyaaa, seharusnyaa tidak mengikuti seperti vidio call pada whats ups. Kalau gitu mending pakai wa aja kalau mau vidio call;;
Alif Airlangga;3;15/10/2024 03.12;Ini ig lagi banyak bug atau gmna? Masa lagu di postingan jadi ilang?;;
Windi Nur;5;15/10/2024 03.11;sumpah asikk bangett and seruu;;
Yudi Herwanto;5;15/10/2024 03.11;Terbaik;;
rafly official;1;15/10/2024 03.06;kocak kocak , chat punya gua ngebug, benerin noh, masa suruh update terus orang udah update;;
Moh. Nugroho;5;15/10/2024 02.56;Sangat bagus;;
abus;5;15/10/2024 02.55;top dah ig jossss..;;
Dini Nur aini;2;15/10/2024 02.50;maaf semenjak saya update jadi,tidak bisa untuk foto kenapa ya?mohon segera diperbaiki🙏🏻🙏🏻;;
Syamsiah AnsiE;1;15/10/2024 02.50;Banyak yg komplain;;
Sopari Wendi;5;15/10/2024 02.44;Bagus sekali;;
Taqwa Scuad;5;15/10/2024 02.39;Nice;;
Trading Mining Doge;5;15/10/2024 02.33;Keren;;
Hida Yat;1;15/10/2024 02.31;Apk ini bagus sekali;;
Nnada Hujan;1;15/10/2024 02.27;Eyr;;
Linda Wulansari;4;15/10/2024 02.26;Efek ig knp gk bsa dipakai? Semoga bisa diperbaiki;;
Weli Renjaan;5;15/10/2024 02.19;Baik bisa berkomunikasi dengan teman sekarang makin langka saja instagram in;;
mana bisa;5;15/10/2024 02.17;Seru Simple Menyenamgkan;;
Santi Santi;5;15/10/2024 02.09;Alhamdulillah wasyukurillah;;
Toni Ardiani;1;15/10/2024 02.08;,4/77;;
Ridho Safendri;5;15/10/2024 02.00;Good;;
Rustina Tina;5;15/10/2024 01.47;Bagus;;
Yoesary_1308;2;15/10/2024 01.41;Kenapa sihh instagram sekarangg, banyak bangett bug nya, herann. Disuruh update, giliran mau di update tapi gabisa di update, gitu gitu aja teruss, padahal bukan karena masalah penyimpanan, ganggu bangett. Tolong diperbaiki bug nya🙏🏻;;
Kunto Handono;5;15/10/2024 01.37;Bagus;;
Nur Aulia dewi;2;15/10/2024 01.35;aku udaa ganti sandi, tapi tetapp ajaa masi ada notif akun anda di ragukan, gmn si;;
Tuti Hartian;5;15/10/2024 01.31;Sangat membantu sekali mengenai masakan dan informasi lainnya;;
Desi Dimas;5;15/10/2024 01.31;Sangat menarik👍🏻;;
Syahrani Rani;2;15/10/2024 01.31;"tiba"" ke log out sendiri, g jls";;
Alif Remover;5;15/10/2024 01.29;ok;;
Erick Siburian;5;15/10/2024 01.26;Sangat berguna dan menghibur;;
almi bacan;5;15/10/2024 01.25;Bagus;;
Hasan Hasan;5;15/10/2024 01.25;Best;;
Narendra Pradipta;5;15/10/2024 01.19;Jos;;
Zufri Zefti;1;15/10/2024 01.10;Tiap buka ig selalu melanggar aturan postingan dari cerita/reel facebook. Dan setelah itu apk ngeblank warna putih semua, kalau gak mau bisa sinkron dg post dari facebook ya udah gak usah bertele2, di update bukane membaik malah makij busuk;;
Nurul Hadi;1;15/10/2024 01.00;Gajelas banget ini aplikasi sekarang;;
ginaa safiyy;5;15/10/2024 00.57;Posting posting diinstagram mudah ,filternya juga bagus bagus;;
Shella Shinta;5;15/10/2024 00.54;Bagus sekali;;
Nurmi;5;15/10/2024 00.47;Bagus;;
Fazal gepeng071 071;2;15/10/2024 00.47;Ini kepenapa kok bisa akunku semua dikeluarkan alasanya dengan simpel, kata sandi telah diganti padahal gada yg ngehack;;
Dendi Nurmansyah;5;15/10/2024 00.36;Happy;;
Sugi Anto;5;15/10/2024 00.36;Bagus;;
Erna wati;4;15/10/2024 00.34;Bagusss;;
soni dekri;5;15/10/2024 00.33;Terimakasih Instagram selalu menghibur aku;;
Junairiyah Iyah;5;15/10/2024 00.28;Sangat menarik;;
yayat Hadiyat;4;15/10/2024 00.28;♥;;
Selma 95;5;15/10/2024 00.25;Sangat senang 🥰;;
Ifatia. arlini.p;5;15/10/2024 00.24;⭐⭐⭐⭐⭐;;
lima belas;2;15/10/2024 00.22;Mau daftar akun malah nggak bisa tolong dong perbaikan nya;;
Ikin MP;5;15/10/2024 00.19;Instagram makin mantap. Informatif, edukatif dan solutif.;;
ALVIN ALVIANSYAH;2;15/10/2024 00.18;Keren;;
Nabila permata sari Permata sari;5;15/10/2024 00.12;Aplikasi .penuh memori;;
jimmy ryadhi;5;15/10/2024 00.10;Always the best;;
Anna Pabangke;5;15/10/2024 00.01;Sangat puas bisa berkomunikasi dengan teman;;
Hera Nada;5;14/10/2024 23.59;Mantap;;
Ahmad Aditya;5;14/10/2024 23.57;Bagus;;
muhlisin terate;5;14/10/2024 23.55;Ok;;
Ida bagus Adi manuaba;1;14/10/2024 23.52;Kenapa ig sering banget kena blokir sekarang, tapi alasannya tidak jelas apa kena hack ya 😏;;
Anton Safak;5;14/10/2024 23.49;Mantap;;
Valentino Rossi;5;14/10/2024 23.48;Sangat bagus;;
Di An;2;14/10/2024 23.39;MOHON BANTU AGAR MEMULIHKAN AKUN SAYA . AKUN SAYA TELAH DI TANGGUHKAN ATAS TUDUHAN PALSU ,SAYA SUDAH AJUKAN BANDING NAMUN AKUN SAYA BELUM DAPAT SAYA LOGIN ATAU PULIHKAN;;
Nurul Hikmah;1;14/10/2024 23.33;Sering keluar dari aplikasi, parah banget malah ngebug;;
adg jaya kamulyan99;2;14/10/2024 23.33;daftar juga belat belit...pake email salah,pake fb belat belit;;
Rafly Pratama;5;14/10/2024 23.30;Bagus;;
Bahrul ulum;2;14/10/2024 23.18;eror trus tiap hari;;
Rifky Ikki;3;14/10/2024 23.10;Kenapa akun saya tidak bisa live udh diajukan tpi blm bisa smpai skrg;;
Bunga Septiani;3;14/10/2024 23.02;Instagram knpa yaa di hp saya ga bisa posting story pake musik? Tolong perbaiki;;
Syafira insania kayla;5;14/10/2024 22.46;Bagus;;
Hafizd Putra;1;14/10/2024 22.45;akun suka ke unfollow sendiri, banyak bug + akun ga dapet updatean terbaru;;
hudzaifah tsaabit73;3;14/10/2024 22.43;Semenjak update yang terbaru ini, malah makin lemot, di beranda buffering semua, apalagi di pencarian.. Tolong pihak yang bersangkutan untuk memperbaiki bug yang terjadi, terima kasih;;
Nuralisa Montoiyan;4;14/10/2024 22.33;❤️❤️❤️;;
Alfajry Muhid;5;14/10/2024 22.32;Apk keren;;
Pak Utar;5;14/10/2024 22.31;Sangat butuh;;
angzz sholeh;1;14/10/2024 22.26;Kenapa setiap mau post cerita selalu hijau kalo vidio tolong di perbaiki secepatnya saya udah lama makai ini tetep aja kalo gitu hijau trus;;
Febriana Chalista;1;14/10/2024 22.19;jelek banget aplikasinya ga ada yang berubah sama sekali padahal selalu update udah lapor juga di Instagram tapi ga ada perubahan;;
Werles Zhuter;4;14/10/2024 22.08;I like this;;
Effendi chanel;5;14/10/2024 22.08;Thanks you give for ne followers 12k;;
Rahmad Aditya;5;14/10/2024 22.03;Semoga fitur-fitur bagusnya tidak dihilangkan lagi;;
Nday94 Nida;2;14/10/2024 21.52;Please mo daftar ulang kenapa jadi error dan ga bisa login;;
Ruslan Amry;4;14/10/2024 21.31;Sangat bagus;;
aqilah qiyah_;5;14/10/2024 21.24;sy suka ig karna di sn generasi milenials drpd fb yg main emak2;;
A.M Hussein;5;14/10/2024 21.17;good;;
Dedy Manullang;5;14/10/2024 21.10;Mantap;;
Erlan 014;5;14/10/2024 20.41;Folow cverlaner;;
Ekmal Khubbal miladi;5;14/10/2024 20.40;Jelas bagus gambarnya;;
deni;5;14/10/2024 20.20;kenapa dengan instagram ko tiba tiba tidak bisa live;;
Zahra Ramadhan;3;14/10/2024 20.17;aplikasiny bgs, tp saat mau gnti fto disorotnnya suka ngeleg', pdhl jringan sy bgs;;
Nitha Sarie;5;14/10/2024 19.33;Saya memberi bintang 5 karena saya sangat suka dengan aplikasi ini😘🥰;;
Alan dwis;5;14/10/2024 19.31;Add dislike and live streaming features;;
Candra Purnama;5;14/10/2024 19.23;Keren...;;
KB• HeyMik;5;14/10/2024 19.18;Enak buat berkomunikasi, melihat video menarik, dan berita penting saya suka dengan instagram;;
nana supriatna07;5;14/10/2024 19.17;Mantap selain bisa berkreasi,apl ini juga bisa menghasil kn cuan...;;
Wahyudin Entoh;5;14/10/2024 19.04;Ok;;
Mapit 46;5;14/10/2024 18.57;Sangat senang dengan nih;;
Moch Irfan;5;14/10/2024 18.29;Sangt puas;;
Vioni Siti nurhadijah;4;14/10/2024 18.28;TOLONG JANGAN HAPUS FITUR ARSIP. Balikin arsippp gueee helppp!!! Instagram lo the Best krna ada arsip di mata gue. Sebenarnya fitur lo udah baguss kok, tpi makin kesini makin kesono. sudah ya Cukup dunia yg memporak porandakan hati ini, apk Instagram jangan ikutan.;;
