userName;score;at;content;;
Fery Tanjung;5;16/10/2024 08.55;Ok , bagus;;
frayenggy handoko;5;16/10/2024 08.54;Dobleh;;
agus sugianor;5;16/10/2024 08.52;Ya begitulah beginilah ya;;
Muhamad Yunus Fauji;5;16/10/2024 08.44;Bagus;;
erlin awl;2;16/10/2024 08.41;setahun gak ig an , balik lagii kangen 🙈;;
heidy putri;1;16/10/2024 08.41;Hey Instagram atau meta atau apalah. Kenapa akunku di tangguhkan? Ga pernah komen tiba2 di tangguhkan. Sudah ajukan banding tapi kodenya ga pernah di kirim ke email atau WhatsApp. Dan tiba-tiba akunku hilang permanen. Apa maksudnya?;;
Herson Pello;5;16/10/2024 08.40;Baxk hal yg luar biasa di aplikasih ini😇;;
Alfiyyatus Syifa;5;16/10/2024 08.38;baikkkk tpi kdg lola;;
Suwanto;5;16/10/2024 08.34;Ya mantaap;;
Yety Novriani;5;16/10/2024 08.28;Sangat cocok untuk saya;;
Dhidi Riyadi;4;16/10/2024 08.25;Terlalu banyak video dewasa atau 18+;;
Aldi Alfandi;3;16/10/2024 08.24;Knpa kok tiba-tiba lemot aplikasi nya gk lancar padahal jaringan nya bagus;;
Ando simbolon;5;16/10/2024 08.24;Saya suka aplikasi ini;;
Ari Subekti;3;16/10/2024 08.23;Buat upload video lambat;;
Koplak Crazy;5;16/10/2024 08.20;Menurut saya apk ini cukup memuaskan, namun ada beberapa fitur-fitur yang ngebug atau ngelag walaupun jarang tapi itu sangat mengganggu. Dan juga update yang diberikan sangat memuaskan, itu pendapat saya;;
Hendra Haryanto;5;16/10/2024 08.19;Bagus;;
Nur Siti;2;16/10/2024 08.18;Baik;;
Yudha Pratama;1;16/10/2024 08.17;Aplikasi gajelas sering eror;;
Hayya Afiatun;5;16/10/2024 08.16;. .;;
Halima Tunsadiah jakfar siddiq;5;16/10/2024 08.14;Halimah. Org. Com;;
Fahad Hasani;4;16/10/2024 08.11;Saya tidak bisa melihat komentar di SG padahal udah saya update;;
Windy Wulan sary;5;16/10/2024 08.09;Aplikasi yang bagus sekali;;
Alvin Bambang Saputra;5;16/10/2024 07.59;Sayang sangat bangga banyak konten inparatip dan menyenangkan;;
Raziq Qq;5;16/10/2024 07.58;Bagus;;
YUDI YUDI;5;16/10/2024 07.57;Musik;;
Olantiana Sarti;5;16/10/2024 07.54;Sangat cocok untuk digunakan;;
Pengguna Google;5;16/10/2024 07.53;Semoga fitur arsip jgn dihilangkan yah☺️;;
Irvan Hakim Anwar;5;16/10/2024 07.53;Keren, sekarang bisa hasilin uang;;
Eza Fahreza;4;16/10/2024 07.50;Kenapa instagram sekarang banyak banget iklan situs judi online nya?ga enak banget ngeliat nya, jdi tolong blockir semua iklan yang kalo ngeliat story org muncul iklan situs judi online nya, ga nyaman banget ada iklan seperti itu tolong di blockir iklan situs-situs judi online nya;;
Devii Itta;5;16/10/2024 07.49;kintil;;
Suci Ramadiana;1;16/10/2024 07.48;Apaan dah dikit dikit error, udh brp hari malah lemot gabisa buka postingan sm story orang! Pdhl buka yg lain lancar gaada lemot nya, masa nyalahin sinyal? Udh uninstall, log out dll di coba ehh tetep aja gitu!;;
agan mohammed;1;16/10/2024 07.46;Update mulu;;
Highlights Game;1;16/10/2024 07.45;Gak jelas,kuota banyak sinyal bagus tapi gak bisa muter video;;
Muhamad ibrahim;5;16/10/2024 07.42;apk yg luar biasa;;
